cd_mun,nm_mun,qtd_criancas,qtd_criancas_pct,qtd_adolescentes,qtd_adolescentes_pct,qtd_idosos,qtd_idosos_pct,renda_media_responsavel
2910701,Euclides da Cunha,7934,0.1291004946628482,9416,0.15321530851340798,10194,0.16587477219474095,1420.26
2910727,Eunápolis,16585,0.14585348694046257,17802,0.15655615161375427,14599,0.12838800457303667,2117.32
2910750,Fátima,2034,0.11366303436714166,2454,0.13713327745180218,3070,0.1715563006426376,1256.64
2910776,Feira da Mata,746,0.13248090925235304,751,0.13336885100337417,1044,0.18540223761321256,1206.34
2910800,Feira de Santana,81470,0.13219812031051223,87361,0.1417572111015915,79379,0.12880513799101695,2201.01
2910859,Filadélfia,2407,0.13449181427054813,2815,0.1572889311057719,2694,0.15052802145610997,1178.25
2910909,Firmino Alves,611,0.12538477324030373,760,0.1559614200697722,875,0.1795608454750667,1348.72
2911006,Floresta Azul,1224,0.11067908490821955,1637,0.1480242336558459,2191,0.19811917894927208,1355.9
2911105,Formosa do Rio Preto,4222,0.16301787713811344,4400,0.16989072937179042,3100,0.11969574114830689,1624.06
2911204,Gandu,4462,0.13866616943253154,5081,0.15790291503511716,4510,0.14015787183790168,1560.46
2911253,Gavião,464,0.10642201834862386,624,0.14311926605504588,933,0.2139908256880734,1274.74
2911303,Gentio do Ouro,1379,0.12669974274163912,1637,0.150404263138552,1912,0.17567070929805217,1167.5
2911402,Glória,2327,0.1498969337799536,2310,0.14880185519196085,2283,0.14706261272867818,1274.51
2911501,Gongogi,776,0.1396939693969397,860,0.1548154815481548,1022,0.18397839783978398,1237.2
2911600,Governador Mangabeira,2663,0.12924047561271537,3206,0.15559330259645718,3207,0.15564183450618782,1357.94
2911659,Guajeru,811,0.10074534161490684,1093,0.13577639751552795,1853,0.2301863354037267,1272.86
2911709,Guanambi,11317,0.1288702642996231,12065,0.13738797727091565,13507,0.1538084881059476,2001.27
2911808,Guaratinga,2484,0.13040054596041786,2964,0.15559871909286577,3612,0.18961625282167044,1321.58
2911857,Heliópolis,1344,0.10918839873263465,1737,0.14111625639775774,2150,0.1746689414249736,1214.37
2911907,Iaçu,3258,0.1324013492095745,3999,0.16251473158044458,4277,0.1738123298248466,1326.14
2912004,Ibiassucê,1009,0.0967494486527951,1338,0.12829609742065395,2283,0.2189088119666315,1486.83
2912103,Ibicaraí,2568,0.11853219478421417,3147,0.14525732748672976,4457,0.20572351719363027,1545.58
2912202,Ibicoara,3311,0.1592975703632427,3624,0.1743565070964638,2009,0.09665624248255954,1474.9
2912301,Ibicuí,1666,0.11956365724128032,2062,0.1479833500789436,2714,0.1947753695995407,1434.56
2912400,Ibipeba,2234,0.1345539962657351,2499,0.150514967174607,2886,0.1738240077094501,1205.14
2912509,Ibipitanga,1581,0.11404457909543389,1966,0.14181634566832577,2612,0.1884152059438794,1372.24
2912608,Ibiquera,487,0.13073825503355704,635,0.1704697986577181,640,0.17181208053691274,1202.46
2912707,Ibirapitanga,3625,0.14303188131313133,4543,0.1792534722222222,3741,0.14760890151515152,1186.25
2912806,Ibirapuã,1272,0.14298561151079137,1323,0.14871852517985612,1497,0.16827787769784172,1738.44
2912905,Ibirataia,2551,0.13574925500212856,2810,0.14953171562366965,3464,0.18433375904640273,1327.09
2913002,Ibitiara,1589,0.10856049736967958,2027,0.13848466215754596,3074,0.21001571360251417,1240.4
2913101,Ibititá,2227,0.1312393187577347,2465,0.1452648948081796,3025,0.1782662502209912,1221.78
2913200,Ibotirama,3913,0.14873237295222166,4163,0.15823482458474286,3775,0.14348701965106997,1510.26
2913309,Ichu,760,0.12277867528271405,863,0.1394184168012924,1146,0.1851373182552504,1326.8
2913408,Igaporã,1792,0.11541186320602821,2060,0.13267211953371547,2845,0.18322921362787403,1405.55
2913457,Igrapiúna,1944,0.14782145844422478,2082,0.15831495703748763,1728,0.13139685195042203,1217.05
